resource_id,resource_type,home_location_id,capacity,availability_status
RS001,Shuttle Van,L029,18,AVAILABLE
RS002,Shuttle Van,L050,15,BUSY
RS003,Shuttle Van,L033,18,AVAILABLE
RS004,Shuttle Van,L013,13,AVAILABLE
RS005,Shuttle Van,L031,17,AVAILABLE
RS006,Shuttle Van,L012,12,BUSY
RS007,Maintenance Cart,L020,1,AVAILABLE
RS008,Maintenance Cart,L035,3,MAINTENANCE
RS009,Maintenance Cart,L003,3,BUSY
RS010,Maintenance Cart,L029,3,MAINTENANCE
RS011,Maintenance Cart,L040,3,AVAILABLE
RS012,Maintenance Cart,L040,1,AVAILABLE
RS013,Maintenance Cart,L005,1,AVAILABLE
RS014,Maintenance Cart,L013,1,AVAILABLE
RS015,IT Support Rider,L002,1,AVAILABLE
RS016,IT Support Rider,L029,1,AVAILABLE
RS017,IT Support Rider,L015,1,BUSY
RS018,IT Support Rider,L001,1,BUSY
RS019,IT Support Rider,L042,1,BUSY
RS020,IT Support Rider,L036,1,MAINTENANCE
RS021,IT Support Rider,L017,1,AVAILABLE
RS022,Medical Response Van,L033,3,AVAILABLE
RS023,Medical Response Van,L005,4,AVAILABLE
RS024,Medical Response Van,L026,2,AVAILABLE
RS025,Porter,L025,1,AVAILABLE
RS026,Porter,L044,1,AVAILABLE
RS027,Porter,L014,1,BUSY
RS028,Porter,L025,2,BUSY
RS029,Porter,L005,1,MAINTENANCE
RS030,Porter,L018,2,AVAILABLE
