road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L006,L034,2.077,8,1.05
R002,L008,L022,1.258,5,1.01
R003,L014,L029,0.752,5,1.31
R004,L005,L013,1.919,7,1.13
R005,L033,L045,0.519,2,1.18
R006,L015,L032,2.133,8,1.42
R007,L022,L030,1.315,7,1.23
R008,L029,L043,1.386,6,1.04
R009,L017,L027,1.575,6,1.17
R010,L004,L048,2.025,8,1.41
R011,L001,L015,1.247,4,1.01
R012,L016,L044,1.18,7,1.26
R013,L048,L049,1.92,7,1.27
R014,L004,L026,0.938,3,1.26
R015,L016,L026,0.475,4,1.43
R016,L007,L026,1.848,8,1.13
R017,L005,L043,1.591,6,1.08
R018,L026,L032,1.624,8,1.27
R019,L012,L039,0.875,5,1.16
R020,L009,L048,1.851,7,1.41
R021,L003,L043,1.18,7,1.43
R022,L044,L048,2.157,10,1.41
R023,L006,L035,1.067,5,1.11
R024,L001,L019,1.634,7,1.18
R025,L011,L017,1.327,4,1.01
R026,L002,L043,0.262,1,1.13
R027,L004,L030,1.673,8,1.48
R028,L040,L042,1.344,6,1.47
R029,L007,L011,1.61,8,1.48
R030,L028,L045,0.526,2,1.11
R031,L014,L023,1.677,6,1.1
R032,L025,L036,0.662,2,1.31
R033,L001,L037,0.947,5,1.42
R034,L016,L046,0.599,3,1.33
R035,L017,L044,1.471,7,1.04
R036,L004,L047,1.992,9,1.45
R037,L009,L021,0.546,4,1.38
R038,L023,L030,1.825,8,1.09
R039,L018,L036,1.501,7,1.17
R040,L029,L044,1.174,6,1.49
R041,L008,L032,0.244,1,1.2
R042,L030,L033,1.98,10,1.36
R043,L017,L030,1.66,6,1.06
R044,L006,L018,0.568,2,1.45
R045,L009,L028,0.865,5,1.07
R046,L008,L011,1.501,7,1.49
R047,L011,L025,1.626,7,1.18
R048,L044,L050,0.701,3,1.07
R049,L017,L023,0.719,2,1.49
R050,L011,L045,1.407,7,1.26
R051,L012,L017,0.568,4,1.22
R052,L001,L018,2.188,10,1.41
R053,L023,L044,0.958,3,1.13
R054,L012,L025,0.789,3,1.12
R055,L005,L026,1.901,8,1.13
R056,L029,L032,0.741,3,1.07
R057,L004,L014,1.611,8,1.18
R058,L006,L010,0.362,2,1.29
R059,L015,L043,1.534,8,1.21
R060,L032,L038,0.159,2,1.25
R061,L006,L011,1.433,6,1.26
R062,L030,L040,1.882,7,1.22
R063,L015,L025,1.264,5,1.0
R064,L025,L043,1.016,5,1.09
R065,L001,L030,1.217,5,1.36
R066,L010,L012,1.077,5,1.16
R067,L019,L046,1.181,5,1.28
R068,L026,L036,0.826,5,1.05
R069,L005,L030,1.843,8,1.12
R070,L031,L045,0.267,1,1.39
R071,L021,L033,0.543,3,1.28
R072,L001,L020,0.725,4,1.46
R073,L019,L050,0.464,2,1.31
R074,L001,L047,1.863,8,1.26
R075,L030,L037,0.35,2,1.23
R076,L004,L007,1.895,8,1.24
R077,L011,L049,1.378,7,1.35
R078,L011,L040,2.01,10,1.47
R079,L031,L041,0.842,3,1.28
R080,L002,L023,1.208,7,1.42
R081,L010,L050,0.363,1,1.06
R082,L003,L005,1.295,6,1.04
R083,L024,L035,1.189,4,1.04
R084,L010,L027,0.068,1,1.39
R085,L013,L039,0.8,5,1.08
R086,L009,L017,1.018,5,1.33
R087,L034,L047,2.459,9,1.44
R088,L008,L041,0.914,6,1.11
R089,L037,L040,1.589,8,1.2
R090,L019,L020,1.509,6,1.49
R091,L015,L024,1.828,9,1.08
R092,L037,L042,1.521,6,1.26
R093,L027,L046,1.087,4,1.1
R094,L031,L049,0.925,4,1.36
R095,L034,L038,2.128,8,1.28
R096,L023,L042,0.909,4,1.01
R097,L015,L050,1.986,8,1.31
R098,L020,L045,1.514,7,1.03
R099,L026,L029,2.176,11,1.39
R100,L022,L039,1.312,7,1.05
