request_id,source_location_id,destination_location_id,category,urgency,time_submitted,deadline,status
Q001,L050,L019,Lab Equipment,2,2026-07-01T15:19,2026-07-01T18:56,ASSIGNED
Q002,L047,L013,IT Support,2,2026-07-06T06:43,2026-07-06T08:49,NEW
Q003,L046,L032,Maintenance,4,2026-07-09T10:03,2026-07-09T10:36,COMPLETED
Q004,L043,L012,Document,3,2026-07-09T12:07,2026-07-09T14:57,ASSIGNED
Q005,L021,L037,Medical,5,2026-07-05T07:00,2026-07-05T07:37,COMPLETED
Q006,L011,L012,Shuttle Request,3,2026-07-08T14:37,2026-07-08T16:43,NEW
Q007,L007,L028,Medical,5,2026-07-14T06:50,2026-07-14T07:13,ASSIGNED
Q008,L019,L035,Maintenance,4,2026-07-13T17:49,2026-07-13T18:35,COMPLETED
Q009,L046,L032,IT Support,4,2026-07-04T11:47,2026-07-04T13:04,NEW
Q010,L003,L004,Document,2,2026-07-01T18:45,2026-07-01T23:40,CANCELLED
Q011,L048,L004,Document,2,2026-07-18T07:03,2026-07-18T12:24,IN_PROGRESS
Q012,L003,L005,IT Support,4,2026-07-05T17:23,2026-07-05T18:52,NEW
Q013,L036,L034,Document,3,2026-07-13T14:54,2026-07-13T16:24,IN_PROGRESS
Q014,L001,L029,Shuttle Request,3,2026-07-21T13:19,2026-07-21T14:40,COMPLETED
Q015,L027,L005,Shuttle Request,3,2026-07-18T05:16,2026-07-18T06:53,ASSIGNED
Q016,L036,L040,Document,2,2026-07-03T17:13,2026-07-03T20:38,COMPLETED
Q017,L028,L016,IT Support,4,2026-07-03T00:54,2026-07-03T01:59,NEW
Q018,L036,L031,Shuttle Request,3,2026-07-07T10:36,2026-07-07T12:24,CANCELLED
Q019,L048,L026,IT Support,4,2026-07-01T22:28,2026-07-01T23:39,CANCELLED
Q020,L027,L045,IT Support,4,2026-07-16T22:17,2026-07-16T23:33,IN_PROGRESS
Q021,L017,L006,IT Support,2,2026-07-20T21:33,2026-07-21T02:51,COMPLETED
Q022,L039,L027,IT Support,3,2026-07-10T12:28,2026-07-10T14:06,ASSIGNED
Q023,L025,L003,Maintenance,4,2026-07-18T10:49,2026-07-18T12:15,COMPLETED
Q024,L025,L014,Lab Equipment,2,2026-07-12T16:24,2026-07-12T20:22,ASSIGNED
Q025,L050,L029,Medical,4,2026-07-07T03:35,2026-07-07T04:59,CANCELLED
Q026,L041,L031,Medical,4,2026-07-07T12:32,2026-07-07T13:25,COMPLETED
Q027,L006,L012,Shuttle Request,2,2026-07-15T03:36,2026-07-15T05:56,COMPLETED
Q028,L042,L039,IT Support,2,2026-07-21T23:58,2026-07-22T02:32,COMPLETED
Q029,L047,L019,Maintenance,3,2026-07-14T05:10,2026-07-14T06:16,COMPLETED
Q030,L038,L007,Maintenance,2,2026-07-09T05:26,2026-07-09T08:20,CANCELLED
Q031,L021,L049,Document,3,2026-07-14T14:33,2026-07-14T16:28,IN_PROGRESS
